peak	gene	distance	peak_type
chr9_129285863_129286558	LMX1B	-90164	distal
chr9_129287690_129288063	LMX1B	-88659	distal
chr9_129295734_129296422	LMX1B	-80300	distal
chr9_129320252_129320732	LMX1B	-55990	distal
chr9_129323928_129324217	LMX1B	-52505	distal
chr9_129373480_129375184	LMX1B	-1538	distal
chr9_129377459_129377994	LMX1B	712	distal
chr9_129388037_129388498	LMX1B	11290	distal
chr9_129399356_129400292	LMX1B	22609	distal
chr9_129452659_129453024	LMX1B	75912	distal
chr9_129464711_129465115	LMX1B	87964	distal
chr9_129467263_129469181	LMX1B	90516	distal
chr9_129481467_129486798	ZBTB43	-80487	distal
chr9_129543954_129544510	ZBTB43	-22775	distal
chr9_129566752_129568698	ZBTB43	0	promoter
chr9_129622220_129625161	ZBTB34	0	promoter
chr9_129639813_129640030	ZBTB34	-1597	distal
chr9_129676452_129678216	RALGPS1	0	promoter
chr9_129702812_129703327	RALGPS1	-21177	distal
chr9_129728083_129728480	RALGPS1	3580	distal
chr9_129744389_129745129	RALGPS1	19886	distal
chr9_129747932_129749254	RALGPS1	23429	distal
chr9_129767450_129768093	RALGPS1	42947	distal
chr9_129811275_129811784	ANGPTL2;RALGPS1	73129;0	distal;distal
chr9_129885065_129885399	ANGPTL2;RALGPS1	0;0	promoter;distal
chr9_129893519_129893936	ANGPTL2;RALGPS1	-8358;0	distal;distal
chr9_129929096_129929512	ANGPTL2;RALGPS1	-43935;0	distal;distal
chr9_129961261_129961961	GARNL3;RALGPS1	-63980;0	distal;distal
chr9_129976659_129977102	GARNL3;RALGPS1	-48839;0	distal;distal
chr9_129981783_129982052	GARNL3;RALGPS1	-43889;0	distal;distal
chr9_129986037_129988411	GARNL3	-37530	distal
chr9_130007024_130008033	GARNL3	-17908	distal
chr9_130150337_130151260	GARNL3;SLC2A8	0;-8157	distal;distal
chr9_130158489_130160745	SLC2A8	0	promoter
chr9_130173406_130173707	ZNF79	-12946	distal
chr9_130174286_130174489	ZNF79	-12164	distal
chr9_130180277_130180720	ZNF79	-5933	distal
chr9_130185933_130187456	ZNF79	0	promoter
chr9_130199761_130200544	ZNF79	13101	distal
chr9_130208505_130208729	RPL12	4923	distal
chr9_130209626_130210359	RPL12	3293	distal
chr9_130210879_130214988	LRSAM1;RPL12	0;0	promoter;promoter
chr9_130217531_130218402	LRSAM1	2998	distal
chr9_130266018_130266864	LRSAM1	51485	distal
chr9_130268119_130268478	FAM129B;LRSAM1	0;53586	distal;distal
chr9_130281302_130282133	FAM129B	49234	distal
chr9_130288080_130288486	FAM129B	42881	distal
chr9_130318137_130318844	FAM129B	12523	distal
chr9_130319625_130320059	FAM129B	11308	distal
chr9_130323810_130325187	FAM129B	6180	distal
chr9_130329543_130332751	FAM129B	0	promoter
chr9_130337221_130337672	FAM129B	3596	distal
chr9_130340878_130343036	FAM129B;STXBP1	0;0	promoter;promoter
chr9_130348682_130349224	STXBP1	7034	distal
chr9_130352102_130352537	STXBP1	10454	distal
chr9_130369576_130371330	STXBP1	-2783	distal
chr9_130373851_130375984	STXBP1	0	promoter
chr9_130461194_130462253	CFAP157;PTRH1	-7018;0	distal;distal
chr9_130469909_130470385	CFAP157;PTRH1	612;0	distal;distal
chr9_130473509_130473692	CFAP157;PTRH1	4212;0	distal;distal
chr9_130477112_130478748	PTRH1;TTC16	0;0	promoter;promoter
chr9_130482229_130483194	PTRH1;TTC16	0;3885	distal;distal
chr9_130483754_130484062	PTRH1;TTC16	3090;0	distal;distal
chr9_130495981_130498419	TOR2A	0	promoter
chr9_130502869_130503478	SH2D3C;TOR2A	0;-5274	distal;distal
chr9_130509216_130509583	SH2D3C	7970	distal
chr9_130524498_130525021	SH2D3C	0	promoter
chr9_130526328_130526803	SH2D3C	-1632	distal
chr9_130529745_130530082	SH2D3C	3566	distal
chr9_130532121_130534560	SH2D3C	0	promoter
chr9_130538352_130543695	SH2D3C	0	promoter
chr9_130544837_130549465	CDK9	0	promoter
chr9_130558796_130559798	FPGS	-5339	distal
chr9_130564086_130566631	FPGS	0	promoter
chr9_130568116_130568238	FPGS	2630	distal
chr9_130590584_130591150	ENG	18296	distal
chr9_130595744_130596390	ENG	13056	distal
chr9_130597730_130598841	ENG	10605	distal
chr9_130600684_130601254	ENG	8192	distal
chr9_130615859_130617284	ENG	0	promoter
chr9_130624161_130625938	ENG	-7127	distal
chr9_130627188_130627756	AK1	8067	distal
chr9_130631908_130632665	AK1;RP11-203J24.9	3158;0	distal;distal
chr9_130659427_130660075	RP11-203J24.9;ST6GALNAC6	0;0	distal;promoter
chr9_130660853_130662426	RP11-203J24.9;ST6GALNAC6	0;0	promoter;promoter
chr9_130665564_130669632	ST6GALNAC6	0	promoter
chr9_130673285_130673810	ST6GALNAC4	5495	distal
chr9_130677738_130682242	ST6GALNAC4	0	promoter
chr9_130683574_130684609	PIP5KL1;ST6GALNAC4	0;-4270	distal;distal
chr9_130689050_130691384	PIP5KL1	0	promoter
chr9_130692129_130693878	PIP5KL1	0	promoter
chr9_130699281_130701282	DPM2	0	promoter
chr9_130704811_130706755	DPM2;FAM102A	-4049;0	distal;distal
chr9_130711623_130711920	FAM102A	1081	distal
chr9_130716040_130718458	FAM102A	-3040	distal
chr9_130721673_130722945	FAM102A	-8673	distal
chr9_130724196_130724288	FAM102A	-11196	distal
chr9_130725606_130726297	FAM102A	-12606	distal
chr9_130727387_130728290	FAM102A	-14387	distal
chr9_130728944_130729020	FAM102A	13772	distal
chr9_130729645_130730783	FAM102A	12009	distal
chr9_130732148_130736579	FAM102A	6213	distal
chr9_130737215_130737579	FAM102A	5213	distal
chr9_130738479_130740520	FAM102A	2272	distal
chr9_130741459_130744335	FAM102A	0	promoter
chr9_130746049_130746638	FAM102A	-3258	distal
chr9_130769529_130770758	FAM102A	-26738	distal
chr9_130773360_130773795	FAM102A	-30569	distal
chr9_130784294_130784725	FAM102A	-41503	distal
chr9_130787030_130787354	NAIF1	42246	distal
chr9_130787935_130789942	NAIF1	39658	distal
chr9_130790625_130791380	NAIF1	38220	distal
chr9_130793073_130793999	NAIF1	35601	distal
chr9_130795291_130795861	NAIF1	33739	distal
chr9_130797074_130798050	NAIF1	31550	distal
chr9_130815629_130816793	NAIF1	12807	distal
chr9_130817782_130818183	NAIF1	11417	distal
chr9_130823383_130824115	NAIF1	5485	distal
chr9_130824943_130825524	NAIF1	4076	distal
chr9_130829021_130832273	NAIF1;SLC25A25	0;0	promoter;promoter
chr9_130834094_130835447	SLC25A25	3523	distal
chr9_130840710_130841458	SLC25A25	10139	distal
chr9_130846066_130846580	SLC25A25	-7163	distal
chr9_130850863_130850984	SLC25A25	-2759	distal
chr9_130855299_130857229	SLC25A25	1557	distal
chr9_130860077_130861250	SLC25A25	0	promoter
chr9_130865733_130866201	SLC25A25	5151	distal
chr9_130877866_130878482	PTGES2	11985	distal
chr9_130879611_130880719	PTGES2	9748	distal
chr9_130887232_130888575	PTGES2	1892	distal
chr9_130889375_130891543	PTGES2	0	promoter
chr9_130892228_130892635	PTGES2	-1488	distal
chr9_130912905_130913124	LCN2	1109	distal
chr9_130921418_130923380	C9orf16	0	promoter
chr9_130953037_130954622	CIZ1	0	promoter
chr9_130955145_130955456	CIZ1	-928	promoter
chr9_130965071_130966978	CIZ1;DNM1	0;0	promoter;promoter
chr9_130979889_130981785	CIZ1;DNM1	-13228;0	distal;distal
chr9_131007187_131007663	DNM1;GOLGA2	0;15176	distal;distal
chr9_131011869_131013534	DNM1;GOLGA2	0;9305	distal;distal
chr9_131017460_131018110	DNM1;GOLGA2	0;4729	distal;distal
chr9_131037380_131039262	GOLGA2;SWI5	0;0	promoter;promoter
chr9_131057554_131058037	AL359091.2	-4330	distal
chr9_131084130_131085878	COQ4;TRUB2	0;0	promoter;promoter
chr9_131102014_131104123	SLC27A4	0	promoter
chr9_131123947_131125017	URM1	-8581	distal
chr9_131126952_131127660	URM1	-5938	distal
chr9_131132795_131134514	URM1	0	promoter
chr9_131159280_131159739	CERCAM	-14306	distal
chr9_131174636_131175061	CERCAM	592	distal
chr9_131181720_131184207	CERCAM	0	promoter
chr9_131200658_131201682	CERCAM	9992	distal
chr9_131217691_131219749	ODF2	0	promoter
chr9_131266583_131267855	GLE1	0	promoter
chr9_131274270_131274690	GLE1	7261	distal
chr9_131311846_131317248	SPTAN1	0	promoter
chr9_131320816_131321722	SPTAN1	5945	distal
chr9_131327889_131327979	SPTAN1	-1041	distal
chr9_131349638_131350059	SPTAN1	20619	distal
chr9_131410462_131410986	WDR34	8080	distal
chr9_131418044_131419685	WDR34	0	promoter
chr9_131444913_131445185	SET	-749	promoter
chr9_131445822_131448976	SET	0	promoter
chr9_131450371_131453172	SET	0	promoter
chr9_131464331_131466150	PKN3	0	promoter
chr9_131484676_131487654	ZDHHC12	0	promoter
chr9_131495483_131495902	ZDHHC12;ZER1	-9082;0	distal;distal
chr9_131533230_131534938	ZER1	0	promoter
chr9_131543719_131543764	TBC1D13	-5719	distal
chr9_131545765_131546110	TBC1D13	-3373	distal
chr9_131548921_131550244	TBC1D13	0	promoter
chr9_131580119_131581853	ENDOG	0	promoter
chr9_131586156_131586182	C9orf114;ENDOG	0;5404	distal;distal
chr9_131591303_131592727	C9orf114	0	promoter
chr9_131614333_131614647	C9orf114;CCBL1	-22234;0	distal;distal
chr9_131625750_131626462	CCBL1	17746	distal
chr9_131636721_131637193	CCBL1	7015	distal
chr9_131643121_131645909	CCBL1;LRRC8A	0;0	promoter;promoter
chr9_131654609_131655137	LRRC8A	9829	distal
chr9_131655695_131655792	LRRC8A	10915	distal
chr9_131657020_131657351	LRRC8A	12240	distal
chr9_131661418_131662726	LRRC8A	16638	distal
chr9_131663887_131665743	LRRC8A;PHYHD1	0;-17431	distal;distal
chr9_131684457_131685179	PHYHD1	0	promoter
chr9_131689953_131690631	PHYHD1	5392	distal
chr9_131709084_131711001	DOLK;NUP188;RP11-101E3.5	0;0;0	promoter;promoter;distal
chr9_131768971_131769452	NUP188;SH3GLB2	0;21012	distal;distal
chr9_131789718_131791446	SH3GLB2	0	promoter
chr9_131798121_131799723	FAM73B	0	promoter
chr9_131820386_131820933	FAM73B	21174	distal
chr9_131831068_131832329	DOLPP1;FAM73B	-11050;0	distal;distal
chr9_131834059_131834318	DOLPP1;FAM73B	-9061;0	distal;distal
chr9_131835649_131836173	DOLPP1	-7206	distal
chr9_131842498_131844278	DOLPP1	0	promoter
chr9_131865415_131865714	CRAT	7276	distal
chr9_131871758_131874529	CRAT;PPP2R4	0;0	promoter;promoter
chr9_131876044_131876577	PPP2R4	2078	distal
chr9_131893696_131894532	PPP2R4	-7129	distal
chr9_131901144_131904200	PPP2R4	0	promoter
chr9_131905163_131905653	PPP2R4	860	distal
chr9_131929207_131929775	IER5L	10766	distal
chr9_131930389_131930475	IER5L	10066	distal
chr9_131935970_131941204	IER5L	0	promoter
chr9_131944853_131945220	IER5L	-4313	distal
chr9_131960714_131961095	IER5L	-20174	distal
chr9_131964733_131965821	IER5L	-24193	distal
chr9_131969099_131969634	IER5L	-28559	distal
chr9_131970656_131971109	IER5L	-30116	distal
chr9_131983450_131983922	IER5L	-42910	distal
chr9_131988073_131988559	IER5L	-47533	distal
chr9_131997938_131999873	IER5L	-57398	distal
chr9_132020316_132021539	IER5L	-79776	distal
chr9_132023490_132024377	IER5L	-82950	distal
chr9_132032485_132033461	IER5L	-91945	distal
chr9_132044528_132044878	IER5L	-103988	distal
chr9_132045421_132045800	IER5L	-104881	distal
chr9_132079840_132080150	IER5L	-139300	distal
chr9_132082615_132083799	IER5L	-142075	distal
chr9_132096034_132098102	IER5L	-155494	distal
chr9_132098782_132099641	IER5L	-158242	distal
chr9_132101353_132101575	IER5L	-160813	distal
chr9_132105862_132107740	IER5L	-165322	distal
chr9_132108844_132110493	IER5L	-168304	distal
chr9_132114058_132114737	IER5L	-173518	distal
chr9_132145295_132146756			intergenic
chr9_132168624_132168994			intergenic
chr9_132175002_132177311	NTMT1	-193852	distal
chr9_132178849_132179433	NTMT1	-191730	distal
chr9_132185017_132185745	NTMT1	-185418	distal
chr9_132198971_132201266	NTMT1	-169897	distal
chr9_132216667_132217175	NTMT1	-153988	distal
chr9_132220243_132223620	NTMT1	-147543	distal
chr9_132232600_132233286	NTMT1	-137877	distal
chr9_132244216_132246818	NTMT1	-124345	distal
chr9_132248045_132254218	NTMT1	-116945	distal
chr9_132257784_132259619	NTMT1	-111544	distal
chr9_132260906_132261049	NTMT1	-110114	distal
chr9_132312412_132312919	NTMT1	-58244	distal
chr9_132330283_132332083	NTMT1	-39080	distal
chr9_132332972_132333174	NTMT1	-37989	distal
chr9_132337458_132337632	NTMT1	-33531	distal
chr9_132342454_132342776	NTMT1	-28387	distal
chr9_132345953_132347149	NTMT1	-24014	distal
chr9_132348560_132349435	NTMT1	-21728	distal
chr9_132357638_132358571	NTMT1	-12592	distal
chr9_132359338_132360684	NTMT1	-10479	distal
chr9_132365105_132365495	NTMT1	-5668	distal
chr9_132369537_132370514	NTMT1	-649	promoter
chr9_132371042_132373958	NTMT1	0	promoter
chr9_132379569_132379693	C9orf50;NTMT1	0;-2799	distal;distal
chr9_132381981_132383152	C9orf50;NTMT1	0;0	promoter;promoter
chr9_132385581_132389817	NTMT1	0	promoter
chr9_132399633_132399666	ASB6	4737	distal
chr9_132403559_132405141	ASB6	0	promoter
chr9_132427340_132428222	PRRX2	0	promoter
chr9_132488805_132489324	PTGES	26002	distal
chr9_132499567_132500825	PTGES	14501	distal
chr9_132515130_132515612	PTGES	0	promoter
chr9_132519152_132520189	PTGES	-3827	distal
chr9_132524542_132525715	PTGES	-9217	distal
chr9_132535589_132536516	PTGES	-20264	distal
chr9_132538985_132540397	PTGES	-23660	distal
chr9_132545888_132546501	TOR1B	-18931	distal
chr9_132552352_132553102	TOR1B	-12330	distal
chr9_132564975_132566402	TOR1B	0	promoter
chr9_132568301_132568952	TOR1B	2870	distal
chr9_132579260_132579841	TOR1A	6572	distal
chr9_132585203_132586965	TOR1A	0	promoter
chr9_132596675_132599321	C9orf78;USP20	0;0	promoter;promoter
chr9_132602300_132602619	USP20	4544	distal
chr9_132607691_132607704	USP20	9935	distal
chr9_132625240_132625903	USP20	27484	distal
chr9_132628499_132632391	USP20	30743	distal
chr9_132639049_132639630	USP20	41293	distal
chr9_132641383_132641812	USP20	43627	distal
chr9_132646162_132654853	FNBP1;USP20	0;48406	distal;distal
chr9_132655963_132658150	FNBP1;USP20	0;58207	distal;distal
chr9_132663020_132663429	FNBP1;USP20	0;65264	distal;distal
chr9_132672893_132673229	FNBP1;USP20	0;75137	distal;distal
chr9_132682096_132682497	FNBP1;USP20	0;84340	distal;distal
chr9_132693137_132693361	FNBP1;USP20	0;95381	distal;distal
chr9_132694403_132695188	FNBP1;USP20	0;96647	distal;distal
chr9_132706512_132708111	FNBP1	97330	distal
chr9_132708684_132709308	FNBP1	96133	distal
chr9_132717036_132717665	FNBP1	87776	distal
chr9_132718891_132719565	FNBP1	85876	distal
chr9_132721028_132721555	FNBP1	83886	distal
chr9_132724351_132726801	FNBP1	78640	distal
chr9_132751214_132751870	FNBP1	53571	distal
chr9_132752522_132753498	FNBP1	51943	distal
chr9_132754382_132754758	FNBP1	50683	distal
chr9_132757649_132759239	FNBP1	46202	distal
chr9_132766080_132766372	FNBP1	39069	distal
chr9_132769490_132770415	FNBP1	35026	distal
chr9_132772266_132773399	FNBP1	32042	distal
chr9_132778999_132779270	FNBP1	26171	distal
chr9_132785196_132785905	FNBP1	19536	distal
chr9_132788983_132789684	FNBP1	15757	distal
chr9_132790776_132791756	FNBP1	13685	distal
chr9_132792781_132793894	FNBP1	11547	distal
chr9_132796001_132797566	FNBP1	7875	distal
chr9_132798387_132798796	FNBP1	6645	distal
chr9_132799301_132802880	FNBP1	2561	distal
chr9_132803895_132806305	FNBP1	0	promoter
chr9_132807329_132808408	FNBP1	-1857	distal
chr9_132815553_132816948	GPR107	0	promoter
chr9_132823708_132824498	GPR107	7505	distal
chr9_132830855_132831314	GPR107	14652	distal
chr9_132835675_132836152	GPR107	19472	distal
chr9_132869284_132870185	GPR107	53081	distal
chr9_132890104_132892025	GPR107;NCS1	0;-42832	distal;distal
chr9_132893307_132893848	GPR107;NCS1	0;-41009	distal;distal
chr9_132900441_132900840	GPR107;NCS1	0;-34017	distal;distal
chr9_132934239_132935813	NCS1	0	promoter
chr9_132998335_132998858	NCS1	35625	distal
chr9_133001984_133003472	NCS1	39274	distal
chr9_133005057_133005900	NCS1	42347	distal
chr9_133031116_133031433	NCS1	68406	distal
chr9_133308632_133308916	HMCN2	2964	distal
chr9_133319970_133320459	ASS1	0	promoter
chr9_133336515_133336976	ASS1	16141	distal
chr9_133454095_133455729	FUBP3	0	promoter
chr9_133538496_133539218	PRDM12	-763	promoter
chr9_133556264_133558311	EXOSC2;PRDM12	-10797;0	distal;distal
chr9_133559376_133559865	EXOSC2	-9243	distal
chr9_133568511_133569809	EXOSC2	0	promoter
chr9_133576389_133576880	EXOSC2	7217	distal
chr9_133582485_133583126	ABL1	-6207	distal
chr9_133587620_133589232	ABL1	-101	promoter
chr9_133646383_133646685	ABL1	57051	distal
chr9_133709723_133711445	ABL1	0	promoter
chr9_133738988_133739330	ABL1	28536	distal
chr9_133741755_133742232	ABL1;QRFP	0;26993	distal;distal
chr9_133768687_133769477	QRFP	0	promoter
chr9_133816388_133816870	FIBCD1	-1934	distal
chr9_133870720_133871219	LAMC3	-13250	distal
chr9_133873698_133874045	LAMC3	-10424	distal
chr9_133918460_133918600	LAMC3	33992	distal
chr9_133922002_133922556	LAMC3	37534	distal
chr9_133933158_133933611	AIF1L;LAMC3	-38252;0	distal;distal
chr9_134000232_134001741	NUP214	0	promoter
chr9_134053574_134054156	NUP214	-11352	distal
chr9_134078883_134078927	NUP214	13376	distal
chr9_134102817_134103891	NUP214	37310	distal
chr9_134108761_134109911	FAM78A;NUP214	35969;0	distal;distal
chr9_134112842_134114497	FAM78A	31383	distal
chr9_134127441_134132839	FAM78A	13041	distal
chr9_134137964_134138550	FAM78A	7330	distal
chr9_134139398_134140164	FAM78A	5716	distal
chr9_134141461_134142755	FAM78A	3125	distal
chr9_134143372_134154869	FAM78A	0	promoter
chr9_134155467_134155964	FAM78A	-3534	distal
chr9_134158016_134158616	FAM78A	-6083	distal
chr9_134164931_134165039	PLPP7	-42	promoter
chr9_134186021_134186695	PLPP7	20823	distal
chr9_134211531_134212076	PLPP7	46333	distal
chr9_134225147_134226063	PRRC2B	-43417	distal
chr9_134231645_134232284	PRRC2B	-37196	distal
chr9_134233871_134234161	PRRC2B	-35319	distal
chr9_134236349_134237061	PRRC2B	-32419	distal
chr9_134247935_134249725	PRRC2B	-19755	distal
chr9_134268371_134271473	PRRC2B	0	promoter
chr9_134272087_134274458	PRRC2B	2488	distal
chr9_134280369_134281213	PRRC2B	10770	distal
chr9_134281766_134283706	PRRC2B	12167	distal
chr9_134285250_134285992	PRRC2B	15651	distal
chr9_134316793_134317241	PRRC2B	11317	distal
chr9_134353749_134354218	PRRC2B	-6261	distal
chr9_134375028_134376843	POMT1;PRRC2B	-1446;0	distal;distal
chr9_134377695_134379898	POMT1	0	promoter
chr9_134391755_134391890	POMT1	13425	distal
chr9_134405926_134407306	UCK1	0	promoter
chr9_134409978_134410391	UCK1	-3324	distal
chr9_134453759_134454939	RAPGEF1;RP11-40A7.2	0;32859	distal;distal
chr9_134460282_134461527	RAPGEF1;RP11-40A7.2	0;39382	distal;distal
chr9_134465757_134467313	RAPGEF1;RP11-40A7.2	0;44857	distal;distal
chr9_134473220_134474116	RAPGEF1;RP11-40A7.2	0;52320	distal;distal
chr9_134478894_134478992	RAPGEF1;RP11-40A7.2	0;57994	distal;distal
chr9_134496398_134498410	RAPGEF1;RP11-40A7.2	0;75498	distal;distal
chr9_134501203_134501568	RAPGEF1;RP11-40A7.2	0;80303	distal;distal
chr9_134502844_134504726	RAPGEF1	80382	distal
chr9_134505475_134506343	RAPGEF1	78765	distal
chr9_134510401_134511723	RAPGEF1	73385	distal
chr9_134520402_134521073	RAPGEF1	64035	distal
chr9_134525541_134526226	RAPGEF1	58882	distal
chr9_134526901_134527426	RAPGEF1	57682	distal
chr9_134530649_134532913	RAPGEF1	52195	distal
chr9_134533640_134534268	RAPGEF1	50840	distal
chr9_134537357_134537753	RAPGEF1	47355	distal
chr9_134542105_134546116	RAPGEF1	38992	distal
chr9_134551136_134554585	RAPGEF1	30523	distal
chr9_134566563_134566900	RAPGEF1	18208	distal
chr9_134573125_134574315	RAPGEF1	10793	distal
chr9_134576414_134576935	RAPGEF1	8173	distal
chr9_134581380_134581903	RAPGEF1	3205	distal
chr9_134583059_134584114	RAPGEF1	994	distal
chr9_134585079_134585886	RAPGEF1	0	promoter
chr9_134594555_134596034	RAPGEF1	-9448	distal
chr9_134600218_134601076	RAPGEF1	11849	distal
chr9_134602733_134605326	RAPGEF1	7599	distal
chr9_134606673_134611062	RAPGEF1	1863	distal
chr9_134611855_134612233	RAPGEF1	692	distal
chr9_134614064_134616046	RAPGEF1	0	promoter
chr9_134619408_134620144	RAPGEF1	-3948	distal
chr9_134622616_134623166	RAPGEF1	-7156	distal
chr9_134630857_134631437	RAPGEF1	-15397	distal
chr9_134637594_134638279	RAPGEF1	-22134	distal
chr9_134714751_134715945	RAPGEF1	-99291	distal
chr9_134729800_134730070	RAPGEF1	-114340	distal
chr9_134953774_134955706	MED27	0	promoter
chr9_135036455_135039093	NTNG2	0	promoter
chr9_135042154_135042350	NTNG2	4821	distal
chr9_135045118_135045572	NTNG2	7785	distal
chr9_135092570_135093146	NTNG2	55237	distal
chr9_135094209_135094550	NTNG2	56876	distal
chr9_135098761_135099441	NTNG2	61428	distal
chr9_135111532_135112369	NTNG2	74199	distal
chr9_135114902_135118375	NTNG2	77569	distal
chr9_135127778_135128408	NTNG2	90445	distal
chr9_135134324_135135058	SETX	95314	distal
chr9_135144082_135144709	SETX	85663	distal
chr9_135168675_135168881	SETX	61491	distal
chr9_135225515_135227409	SETX	2963	distal
chr9_135229258_135231194	SETX	0	promoter
chr9_135236521_135236803	SETX	-6150	distal
chr9_135241440_135242255	SETX	-11069	distal
chr9_135247754_135248594	SETX	-17383	distal
chr9_135257354_135257937	TTF1	24272	distal
chr9_135258871_135260121	TTF1	22088	distal
chr9_135279650_135280076	TTF1	2133	distal
chr9_135281488_135282765	TTF1	0	promoter
chr9_135285092_135287856	CFAP77	0	promoter
chr9_135326504_135327138	CFAP77	40890	distal
chr9_135362155_135363359	CFAP77	76541	distal
chr9_135382351_135383427	BARHL1;CFAP77	-74145;0	distal;distal
chr9_135450351_135450859	BARHL1	-6713	distal
chr9_135457130_135458010	BARHL1	0	promoter
chr9_135544733_135546900	DDX31;GTF3C4	0;0	promoter;promoter
chr9_135569569_135569926	DDX31;GTF3C4	-23782;0	distal;distal
chr9_135644132_135646151	AK8;DDX31	0;-98345	distal;distal
chr9_135675298_135675971	AK8;C9orf9	0;-77443	distal;distal
chr9_135679997_135680301	AK8;C9orf9	0;-73113	distal;distal
chr9_135724054_135724397	AK8;C9orf9	0;-29017	distal;distal
chr9_135753136_135754501	AK8;C9orf9	0;0	promoter;promoter
chr9_135755172_135755311	C9orf9	888	distal
chr9_135763947_135764326	C9orf9	9663	distal
chr9_135776999_135777783	C9orf9;TSC1	22715;0	distal;distal
chr9_135783899_135784540	TSC1	19802	distal
chr9_135819252_135820932	TSC1	0	promoter
chr9_135847884_135848409	GFI1B	-5629	distal
chr9_135852981_135853488	GFI1B	-550	promoter
chr9_135857324_135857752	GFI1B	3227	distal
chr9_135879838_135880121	GFI1B	17773	distal
chr9_135897581_135898879	GTF3C5	-7183	distal
chr9_135905131_135906771	GTF3C5	0	promoter
chr9_135916340_135916654	GTF3C5	9950	distal
chr9_135923930_135924301	CEL;GTF3C5	-13064;0	distal;distal
chr9_135978360_135979370	RALGDS;RP11-326L24.9	17193;0	distal;distal
chr9_135987481_135991558	RALGDS;RP11-326L24.9	5005;0	distal;distal
chr9_135993054_135993362	RALGDS;RP11-326L24.9	3201;0	distal;distal
chr9_135995587_135997872	RALGDS;RP11-326L24.9	0;0	promoter;distal
chr9_135998765_135998926	RALGDS;RP11-326L24.9	-2203;0	distal;distal
chr9_135999802_136000437	RALGDS;RP11-326L24.9	-3240;0	distal;distal
chr9_136001069_136011341	RALGDS;RP11-326L24.9	0;0	promoter;distal
chr9_136016872_136020805	RALGDS;RP11-326L24.9	3916;0	distal;distal
chr9_136022487_136025487	RALGDS;RP11-326L24.9	0;0	promoter;distal
chr9_136036165_136036784	GBGT1;RP11-326L24.9	2305;0	distal;distal
chr9_136038887_136039742	GBGT1;RP11-326L24.9	0;0	promoter;promoter
chr9_136055287_136055721	GBGT1	-15956	distal
chr9_136060318_136061879	GBGT1	-20987	distal
chr9_136075459_136075785	OBP2B	8829	distal
chr9_136113812_136114897	OBP2B	-29176	distal
chr9_136158107_136158414	ABO	-7478	distal
chr9_136202212_136203663	SURF6	0	promoter
chr9_136207084_136207587	MED22;SURF6	0;-3850	distal;distal
chr9_136208514_136209222	MED22;SURF6	0;-5280	distal;distal
chr9_136213729_136215832	MED22;RPL7A	0;0	promoter;promoter
chr9_136218784_136219247	RPL7A;SURF1	3008;0	distal;distal
chr9_136222569_136224185	SURF1;SURF2	0;0	promoter;promoter
chr9_136226334_136226715	SURF2	2907	distal
chr9_136236278_136239220	SURF4	3694	distal
chr9_136241406_136243748	STKLD1;SURF4	0;0	promoter;promoter
chr9_136268943_136269424	REXO4;STKLD1	13740;0	distal;distal
chr9_136271811_136272558	REXO4	10606	distal
chr9_136281781_136283853	REXO4	0	promoter
chr9_136285499_136285944	ADAMTS13	-1176	distal
chr9_136286777_136287078	ADAMTS13	-42	promoter
chr9_136293895_136294091	ADAMTS13	6452	distal
chr9_136305903_136306456	ADAMTS13	-14314	distal
chr9_136323681_136326401	ADAMTS13;CACFD1	0;0	distal;promoter
chr9_136335603_136336510	CACFD1;SLC2A6	0;7708	distal;distal
chr9_136339393_136339614	SLC2A6	4604	distal
chr9_136341324_136342317	SLC2A6	1901	distal
chr9_136342926_136344978	SLC2A6	0	promoter
chr9_136351010_136351879	SLC2A6	-6752	distal
chr9_136374543_136374944	TMEM8C	15124	distal
chr9_136398112_136398578	ADAMTSL2	827	distal
chr9_136399598_136400105	ADAMTSL2	0	promoter
chr9_136405521_136405839	ADAMTSL2	5547	distal
chr9_136474375_136474788	FAM163B	-23057	distal
chr9_136484899_136485302	DBH	-16180	distal
chr9_136521709_136521990	DBH	20228	distal
chr9_136542068_136542778	SARDH	26045	distal
chr9_136548452_136549519	SARDH	19304	distal
chr9_136565994_136568972	SARDH	0	promoter
chr9_136574310_136574883	SARDH	-5488	distal
chr9_136592154_136592525	SARDH	2760	distal
chr9_136603097_136603867	SARDH	0	promoter
chr9_136608027_136608509	SARDH	-2951	distal
chr9_136647250_136647704	SARDH;VAV2	-42174;0	distal;distal
chr9_136651330_136653206	SARDH;VAV2	-46254;0	distal;distal
chr9_136657857_136658784	SARDH;VAV2	-52781;0	distal;distal
chr9_136687488_136689119	SARDH;VAV2	-82412;0	distal;distal
chr9_136709460_136711224	SARDH;VAV2	-104384;0	distal;distal
chr9_136720498_136721739	SARDH;VAV2	-115422;0	distal;distal
chr9_136727583_136728551	SARDH;VAV2	-122507;0	distal;distal
chr9_136810371_136810960	VAV2	46443	distal
chr9_136820043_136821260	VAV2	36143	distal
chr9_136825498_136826030	VAV2	31373	distal
chr9_136844832_136845054	VAV2	12349	distal
chr9_136856286_136859985	VAV2	0	promoter
chr9_136889542_136891505	RP11-374P20.5	0	promoter
chr9_136924712_136925791	BRD3	7348	distal
chr9_136930406_136934577	BRD3	0	promoter
